keyword;sw
up;0.23328496666
short;-0.581160147108
down;-0.462716142577
buy;0.244334298767
good;0.239627332914
long;0.297272727273
sell;-0.427425268516
news;0.259900510369
emojipos;0.325757078105
nice;0.414018348624
volume;0.249960598897
shorts;0.303998107405
low;-0.210682969994
great;0.402275769746
puts;-0.825481707835
bearish;-0.795836947095
bullish;0.360620047026
holding;0.236022582408
lower;-0.611213574327
below;-0.634704896667
+;0.350233863424
bought;0.272898427939
support;-0.261019703433
run;0.273082459387
higher;0.452949883696
er;0.25600263129
k;0.228292249611
numbertag k;0.232851143257
calls;0.408888888889
drop;-0.467141162515
selling;-0.293395885962
above;0.310026705511
strong;0.45105192752
bad;-0.326628235006
green;0.478460361968
oil;-0.234145036125
red;-0.498106060606
bulls;-0.49902043101
under;-0.276219054764
cashtag short;-0.743958397063
top;-0.322898732196
put;-0.310134701732
q;0.332678454486
trend;-0.243037536758
bear;-0.468689363203
up numbertag;0.333092485549
numbertag +;0.514618765526
thanks;0.383937128618
let s;0.336452241715
p;-0.210464201416
hard;-0.249351167898
gold;-0.261594792514
dump;-0.759065765212
shorting;-0.572747793967
below numbertag;-0.63165649337
dip;0.335061568373
pump;-0.70717618307
add;0.339412811388
down to;-0.593197278912
to short;-0.700522608498
lets;0.322838238649
over numbertag;0.271844660194
fall;-0.681573402014
added;0.448373408769
loss;-0.415340774163
q numbertag;0.298984771574
stock is;-0.252987541317
above numbertag;0.282951653944
numbertag shares;0.260344384477
cashtag nice;0.493264248705
deal;0.241867785939
lows;-0.543878087231
to sell;-0.28145608019
up to;0.244979919679
breakout;0.593238529649
long term;0.258378378378
squeeze;0.542340367224
positive;0.554945054945
weak;-0.295867768595
potential;0.367463026166
upside;0.551881413911
back in;0.276235019
future;0.228193832599
down numbertag;-0.468167012141
going down;-0.758268190018
numbertag puts;-0.878386514148
moving;0.230956733699
baby;0.301018832973
cheap;0.37954616102
data;0.252974326863
article;0.37684342642
markets;-0.215969820811
this company;-0.224269377382
with numbertag;0.280927835052
short term;-0.241111829347
! i;0.25
shorted;-0.693670055756
dead;-0.629117259552
test;-0.233757535164
pattern;-0.223537368955
told;-0.35468483816
this thing;-0.218728639781
dollar;-0.230557467309
in at;0.502428868841
lost;-0.409391304348
$$$;0.30607966457
numbertag calls;0.685133239832
head;-0.342253521127
happy;0.353922612709
cashtag good;0.272468916519
downside;-0.713164466643
pos;-0.600143061516
falling;-0.606762219772
thank;0.241583425823
ma;-0.274814814815
ride;0.314794215795
go up;0.248516320475
cashtag long;0.65168956554
negtag_even;-0.281459419211
under numbertag;-0.368578927634
opportunity;0.237556561086
interesting;0.310943396226
broke;-0.283846153846
cashtag buy;0.430668211665
lose;-0.373040752351
adding;0.346971520257
heading;-0.340562248996
i like;0.453150242326
correction;-0.457821457821
get out;-0.596224866639
go down;-0.582811848144
breaks;-0.266331658291
fed;-0.390611902766
negative;-0.436607892527
plug;0.356932153392
crash;-0.737774030354
market is;-0.239508266214
area;-0.232923207467
beat;0.39089749043
it !;0.234042553191
sell off;-0.409622886866
is good;0.347442680776
numbertag cents;-0.204979991107
push;0.290178571429
analyst;0.292693859256
hoping;0.243946188341
we have;0.254161043635
good news;0.464317976513
cashtag down;-0.713251922207
retail;-0.377004122767
back up;0.509208103131
h;-0.258747697974
debt;-0.468779123952
cashtag up;0.427764705882
results;0.38081671415
below $;-0.632030505243
negtag_one;-0.277936962751
cashtag sell;-0.79316979317
covered;-0.559108527132
hopefully;0.447201946472
up !;0.559239395417
short at;-0.890088321884
going up;0.35068762279
target numbertag;-0.3542997543
ugly;-0.755445544554
jump;0.285571142285
cashtag how;-0.222891566265
today !;0.402010050251
pps;0.322596879718
bag;-0.65305093293
sentiment;-0.375378405651
management;-0.251396648045
pr;0.359430604982
is down;-0.329597554763
dips;0.582226762002
held;0.238095238095
short this;-0.730118009236
cashtag shorts;0.44610624033
greece;-0.248836006208
short position;-0.782518210198
cashtag bought;0.426041666667
patience;0.472642001042
k shares;0.410109431996
cashtag lol;-0.359749739312
rise;0.261780104712
thank you;0.341719077568
reverse;-0.449763282483
emojineg;-0.574535809019
for now;-0.319126265317
trap;-0.543652919122
crap;-0.46545259775
usertag good;0.267060720043
broken;-0.581270182992
i said;-0.241379310345
losing;-0.5872156013
garbage;-0.784699453552
get in;0.498898678414
sell sell;-0.895374449339
power;0.443526170799
load;0.405315614618
release;0.279017857143
oversold;0.404255319149
increase;0.299270072993
candle;-0.280089988751
losses;-0.462837837838
i bought;0.346132128741
buy buy;0.471719457014
further;-0.426953567384
cashtag added;0.520679886686
futures;-0.375142531357
am in;0.551466359977
short cashtag;-0.831797235023
technical;-0.282583621684
boom;0.520833333333
signal;-0.250291036088
fda;0.40675990676
fade;-0.688811188811
under $;-0.309620991254
we can;0.251461988304
over $;0.504683840749
solid;0.592267135325
shares at;0.290930506478
lmao;-0.267888823182
above $;0.392963625522
numbertag target;-0.25045045045
drops;-0.247596153846
is over;-0.351773902586
cashtag great;0.427527405603
hod;0.433109346365
thanks for;0.375305623472
rating;0.29706601467
pain;-0.337408312958
plus;0.287906691222
careful;-0.567567567568
conference;0.554461538462
numbertag c;0.264197530864
link;0.44382371198
to add;0.414543194531
block;0.238332296204
downtrend;-0.642590286426
headed;-0.368355222014
company is;-0.247311827957
valuation;-0.401774397972
heavy;-0.242078580482
negtag_buy;-0.453392517438
spy;-0.623096446701
buyout;0.383343928798
tight;0.305785123967
him;0.228025477707
i believe;0.321428571429
fake;-0.591025641026
for long;0.351768488746
cashtag very;0.23275306254
scam;-0.849350649351
hear;0.239766081871
buy more;0.514006514658
my short;-0.885342019544
pump and;-0.816166883963
usertag thanks;0.532941943901
forward;0.394255874674
think we;0.240026160889
back down;-0.687172774869
insiders;-0.354330708661
junk;-0.856484529296
usertag we;0.240105540897
bb;0.378717779247
cut;-0.457919151756
wave;-0.277667329357
tank;-0.725099601594
zero;-0.432180851064
blackberry;0.34983277592
bubble;-0.70395177495
cashtag only;-0.229738780978
cc;0.391420911528
split;-0.252525252525
buys;0.302702702703
poor;-0.546012269939
amazing;0.264604810997
traded;0.244658855961
awesome;0.488597097443
points;-0.222761970854
cashtag holding;0.497222222222
and we;0.30549756437
just like;-0.204751921733
! emojipos;0.452631578947
told you;-0.477160927618
bye;-0.510204081633
congrats;0.342253521127
ratings;0.299012693935
low numbertag;-0.378091872792
sub;-0.664068036853
