messageId;userId;timestamp;message;tag;
98938220;98938220;2017-10-30 09:31:00;$NAT   $ 4.57 -0.07 (-1.61%)   - News Out on Nordic American Tanker http://crweworld.com/article/news-provided-by-globenewswire/161226/nordic-american-tankers-limited-nysenat-financial-update-and-comments-on-sulphur-requirements;NULL;
98938217;98938217;2017-10-30 09:31:00;$SGYP http://www.pharmacistanswers.com/articles/trulance-vs-linzess-vs-amitiza-what-to-use-for-constipation;NULL;
98938214;98938214;2017-10-30 09:31:00;$VSAR check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938212;98938212;2017-10-30 09:31:00;$AMD Multiple IP license deals in pipeline. Listen to LISA's verbage.....she is giving you insight of upcoming bizz. Q3 WAS GREAT !!! ;Bullish;
98938209;98938209;2017-10-30 09:30:00;$AVGO   $ 247.68 +3.41 (1.40%)   - News Out on Broadcom crweworld.com/article/news-...;NULL;
98938207;98938207;2017-10-30 09:30:00;$AKAM check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938206;98938206;2017-10-30 09:30:00;$MTNB youâ€™re all stupid and will be poor soon ;Bearish;
98938205;98938205;2017-10-30 09:30:00;$AMD bulls are silent...wonder where they all went. crying? trying to explain to the family why they are poor now?enjoy ur margin call! ;Bearish;
98938196;98938196;2017-10-30 09:30:00;$BLK Why can't the CEO say something to promote this damn company instead of talking about the overall markets and risk?!?!;NULL;
98938189;98938189;2017-10-30 09:30:00;$AMD Raped. Not the 1st time. Time to man up and eat some losses. And learn an expensive lesson. Back to the grind.;NULL;
98938188;98938188;2017-10-30 09:29:00;$TEUM check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938184;98938184;2017-10-30 09:29:00;$AMD if your here to trade then there is a ton to be made. This is a  LT growth story, that's why I invested in the $3 range in 2015. GL FKS ;Bullish;
98938181;98938181;2017-10-30 09:29:00;I'd just like to give RT3 a shout-out for making me some moolah in $ATOS!  I play to buy some in the morning! ;Bullish;
98938178;98938178;2017-10-30 09:29:00;$CL_F $DWT $UWT Trend will be the same till it hits $54-$55.24 range.;NULL;
98938167;98938167;2017-10-30 09:28:00;$GLPI SunTrust Banks, Inc. Reaffirms â€œHoldâ€ Rating for Gaming and Leisure Properties ... https://themarketisopen.com/posts/suntrust-banks-inc-reaffirms-hold-rating-for-gaming-and-leisure-properties;NULL;
98938166;98938166;2017-10-30 09:28:00;$DELT sheesh i sold too eary ;Bullish;
98938162;98938162;2017-10-30 09:27:00;$JAGX check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938159;98938159;2017-10-30 09:27:00;$HMNY still waiting for the bottom. Dont want to catch a knife here ;Bullish;
98938158;98938158;2017-10-30 09:27:00;$AMD Q4 is seasonaly lower......just the way the bizz is currently structured. LISA said EPYC will acct for large portion of 2018 sales #'s ;Bullish;
98938153;98938153;2017-10-30 09:27:00;$BABA check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938148;98938148;2017-10-30 09:26:00;$NAK I'm hunting pumpers & dumpers (to block). Haven't seen a new regressive for a while. Truth is a regressive repellant.;NULL;
98938146;98938146;2017-10-30 09:26:00;$UA oversold ;Bullish;
98938145;98938145;2017-10-30 09:26:00;$CAT 150 this week ;Bullish;
98938144;98938144;2017-10-30 09:26:00;$NPTN check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938142;98938142;2017-10-30 09:26:00;Hey Traders!  My only position is in $BONT.  I'm expecting it to make some more money today like it did Tue. ;Bullish;
98938140;98938140;2017-10-30 09:26:00;$BTC.X choo choo bitch ;Bullish;
98938139;98938139;2017-10-30 09:26:00;$IMNP check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938138;98938138;2017-10-30 09:26:00;$AMD nothing its owed by the claw;NULL;
98938136;98938136;2017-10-30 09:26:00;$DAX adding short 56 if touches stop loss 70!;NULL;
98938135;98938135;2017-10-30 09:25:00;$DEST check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938134;98938134;2017-10-30 09:25:00;$AMD Advanced Micro Devices Beats Q3 Estimates, But Stock Falls On Lower Guidance cityfalcon.com/watchlists?u...;NULL;
98938133;98938133;2017-10-30 09:25:00;$ES_F 4 HOUR turns bullish after the 2560.50 PING;NULL;
98938130;98938130;2017-10-30 09:25:00;$SHOP check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938128;98938128;2017-10-30 09:25:00;$AMD wonder what will happend with Intel :o;NULL;
98938127;98938127;2017-10-30 09:25:00;Is it too late for potential investors in Ballard Power Systems $BLDP? Mr Market has already priced in the 45.7% growth simplywall.st/NasdaqGM:BLDP...;NULL;
98938126;98938126;2017-10-30 09:25:00;$PLUG check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938125;98938125;2017-10-30 09:25:00;$AEZS  check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938122;98938122;2017-10-30 09:25:00;$AMD Investors have given $AMD $10B since Jan 16 and all it has to show for it is -0.17EPS LOL Give me $10B and I can get better returns! ;Bearish;
98938119;98938119;2017-10-30 09:25:00;Saudi Arabia to Build a $500B Mega City bloomberg.com/news/articles... $SFTBY Vision Fund buying a â€œsignificantâ€ stake in Saudi Electricity Co;NULL;
98938117;98938117;2017-10-30 09:24:00;$TENX check out this cheap stock: nasdaqnewsreports.blogspot.... ;Bullish;
98938116;98938116;2017-10-30 09:24:00;$RAD There must be a buyout being orchestrated otherwise they would be putting out more news. Black rock and Vanguard need exit strategy.;NULL;
98938113;98938113;2017-10-30 09:24:00;$AUDC its voice engine vocanom is starting to produce results. Its the siri cortana for the enterprise. ;Bullish;
98938112;98938112;2017-10-30 09:24:00;Which pharma will buy next Biotech?$GILD $BMRN $JUNO $ADAP $AFMD $SGMO $CLLS $ONCE $BLUE $PFE $NVS $LLY $SNY $GSK twitter.com/behaviorfin/sta...;NULL;
98938109;98938109;2017-10-30 09:24:00;$RAD Short Squeeze Coming Soon ;Bullish;
98938105;98938105;2017-10-30 09:23:00;Find out for free how professional traders make watchlistsHttps://Goo.Gl/qWs3tt$PTIE $SSKN $TESS ;Bullish;
98938102;98938102;2017-10-30 09:23:00;$AUDC revs in line 39.2 mill EPS .10cents .01cts better on record gross margins ;Bullish;
98938100;98938100;2017-10-30 09:23:00;WHAT WE LOOK FOR IN THE NEXT HOT STOCKFree Access: Https://Goo.Gl/qWs3tt$VISI $AMTX $MLPS ;Bullish;
98938098;98938098;2017-10-30 09:22:00;$T $VZ $CMCSA check out: nasdaqnewsreports.blogspot.... ;Bullish;
98938097;98938097;2017-10-30 09:22:00;Our Traders breakdown potential movers everydayFree@ Https://Goo.Gl/qWs3tt$TXNET $YECO $GBSN ;Bullish;
98938096;98938096;2017-10-30 09:22:00;$CL_F Gasoline draw, Supply risk and Signs of supply shortages + EIA report which will be bullish will drive the prices up today $DWT $UWT;NULL;
98938089;98938089;2017-10-30 09:22:00;Get in depth analysis of of the hot stocks we are watching dailyFree@ Https://Goo.Gl/qWs3tt$PII $SENS $TLRD ;Bullish;
98938085;98938085;2017-10-30 09:21:00;$PTN $.01 warrants seems to be out.... up to the sky this week ;Bullish;
98938084;98938084;2017-10-30 09:21:00;$AMD 1st meal after the great â€˜17 AMD crash.  Out of cereal, out of milk, out of $, soon 2 b out of pu$$y;NULL;
98938083;98938083;2017-10-30 09:21:00;$CSCO $INTC check out: nasdaqnewsreports.blogspot.... ;Bullish;
98938082;98938082;2017-10-30 09:21:00;$GBTC great time to get in. Low Premium and BTC just had a minor dip ;Bullish;
98938081;98938081;2017-10-30 09:21:00;$AUDC Another brand new $20 mill dollar buyback filed yesterday with court. current buyback bot back 940k shares and ends Nov 20th ;Bullish;
98938078;98938078;2017-10-30 09:21:00;$CEI Oil is down so down day for $CEI ;Bullish;
98938075;98938075;2017-10-30 09:21:00;$C $BAC $WFC $GS check out: nasdaqnewsreports.blogspot.... ;Bullish;
98938074;98938074;2017-10-30 09:21:00;$IMUC ;Bullish;
98938073;98938073;2017-10-30 09:21:00;$AA Beast" over 9 points in 2 months" $$$ ;Bullish;
98938070;98938070;2017-10-30 09:20:00;$ATOS added 378watchers since 5:00PM. www.stockwatchers-health.com;NULL;
